ID,Date,HOUSING,NGDP,PGDP,UNEMPLOY,INPROD,RGDP,RCON,RINV,RINVRES,RFEDGOV,RGSL,RCBI,CPI,PCON,EMPLOY
91,1970:Q3,1506.666667,985.2,21.77,5.2,168.0666667,727.5,480.2,79.6,19.9,67.2,74.5,3.2,39.03333333,129.6127,70459.33333
92,1970:Q4,1743,990.9,22.055,5.9,162.5333333,721.3,477.1,76.6,21.7,65.8,74.7,-4,39.6,131.5447,70191.66667
93,1971:Q1,1778,1018.4,22.389,5.933333333,165.0333333,731.6,485.3,78.4,24,63.1,76.6,2.1,39.93333333,132.8457,70523
94,1971:Q2,1938.666667,1040.5,22.689,5.966666667,167.0666667,736.3,491.5,78.2,26.1,60.6,76.6,4,40.3,134.3032,70708.66667
95,1971:Q3,2134.666667,1059,22.917,5.966666667,105.4666667,743.6,496.7,79.2,26.8,62.7,77,0.7,40.7,135.3131,70621
96,1971:Q4,2294.333333,1073,23.107,5.933333333,107.0333333,751.7,499.2,79.6,28.9,64.3,78.6,-0.9,41,135.7572,70973.33333
97,1972:Q1,2528.666667,1103.2,23.478,5.833333333,108.8333333,761,503.5,84.6,31.4,64.7,80.1,0.3,41.33333333,137.0804,71690.33333
98,1972:Q2,2245,1139,23.621,5.766666667,111.7333333,783.1,519.5,84.4,34.2,64,80.1,3.3,41.6,137.1511,72401
99,1972:Q3,2330,1162.2,23.835,5.533333333,114.3666667,795.3,528.7,84.4,35,61.6,81.9,4.5,41.93333333,137.7152,72885.66667
100,1972:Q4,2415.666667,1195.8,24.105,5.266666667,118.1666667,812.4,538.6,87.2,36.3,59.2,83.8,7.7,42.36666667,138.5444,73730.66667
101,1973:Q1,2390.333333,1235.5,24.412,5.033333333,120.7666667,827.1,551,91.1,37.3,58.3,84.7,5.7,43.03333333,140.4174,74572.66667
102,1973:Q2,2217.333333,1271,24.816,4.933333333,123.4333333,834.6,553.8,91.8,35.3,57.5,87.4,3.9,43.93333333,143.5717,75242.66667
103,1973:Q3,1994.666667,1304,25.29,4.766666667,126.6333333,841.6,556.8,93.6,34.6,57.3,88.1,5.9,44.8,146.0848,75723.33333
104,1973:Q4,1555.333333,1334,25.728,4.666666667,127.2,844.1,554.5,94.1,30.6,55.6,89.2,10.9,45.93333333,149.5041,76476.66667
105,1974:Q1,1582,1351.8,26.249,5.166666667,124.8,832,547.5,94.1,27.7,56.3,89.8,4.9,47.3,154.2648,76571.66667
106,1974:Q2,1557,1383.5,26.832,5.133333333,125.2,828,542.3,96.4,25.8,56.1,89.1,9.1,48.56666667,159.8377,77042.66667
